"","affy_hg_u133_plus_2","external_gene_name"
"520","201203_s_at","RRBP1"
"521","204402_at","RHBDD3"
"522","202501_at","MAPRE2"
"523","203247_s_at","ZNF24"
"524","203248_at","ZNF24"
"525","201583_s_at","SEC23B"
"526","201582_at","SEC23B"
"527","201723_s_at","GALNT1"
"528","201722_s_at","GALNT1"
"529","201724_s_at","GALNT1"
"530","202088_at","SLC39A6"
"531","202089_s_at","SLC39A6"
"532","204412_s_at","NEFH"
"533","201709_s_at","NIPSNAP1"
"534","201708_s_at","NIPSNAP1"
"535","200781_s_at","RPS15AP1"
"536","201492_s_at","RPL41P1"
"537","203888_at","THBD"
"538","203887_s_at","THBD"
"539","202878_s_at","CD93"
"540","202877_s_at","CD93"
"541","202198_s_at","MTMR3"
"542","202197_at","MTMR3"
"543","201360_at","CST3"
"544","204297_at","PIK3C3"
"545","201704_at","ENTPD6"
"546","201356_at","SF3A1"
"547","201357_s_at","SF3A1"
"548","204541_at","SEC14L2"
"549","201481_s_at","PYGB"
"550","202895_s_at","SIRPAP1"
"551","202896_s_at","SIRPAP1"
"552","202212_at","PES1"
"553","204043_at","TCN2"
"554","204145_at","FRG1BP"
"555","203076_s_at","SMAD2"
"556","203075_at","SMAD2"
"557","203077_s_at","SMAD2"
"558","203956_at","MORC2"
"559","204790_at","SMAD7"
"560","200038_s_at","RPL17-C18orf32"
"561","200038_s_at","RPL17"
"562","202193_at","LIMK2"
"563","200038_s_at","SNORD58A"
"564","202003_s_at","ACAA2"
"565","202002_at","ACAA2"
"566","202810_at","DRG1"
"567","202924_s_at","PLAGL2"
"568","202925_s_at","PLAGL2"
"569","203943_at","KIF3B"
"570","203353_s_at","MBD1"
"571","202392_s_at","PISD"
"572","200712_s_at","MAPRE1"
"573","200713_s_at","MAPRE1"
"574","204707_s_at","MAPK4"
"575","203516_at","SNTA1"
"576","202527_s_at","SMAD4"
"577","202526_at","SMAD4"
"578","2028_s_at","E2F1"
"579","202485_s_at","MBD2"
"580","202484_s_at","MBD2"
"581","201271_s_at","RALY"
"582","201020_at","YWHAH"
"583","200903_s_at","AHCY"
"584","200042_at","RTCB"
"585","200903_s_at","AL356299.2"
"586","203753_at","TCF4"
"587","201178_at","FBXO7"
"588","201148_s_at","TIMP3"
"589","201147_s_at","TIMP3"
"590","201150_s_at","TIMP3"
"591","201149_s_at","TIMP3"
"592","204414_at","LARGE1"
"593","202807_s_at","TOM1"
"594","203665_at","HMOX1"
"595","201415_at","GSS"
"596","201755_at","MCM5"
"597","204179_at","MB"
"598","203650_at","PROCR"
"599","200005_at","EIF3D"
"600","202795_x_at","TRIOBP"
"601","203524_s_at","MPST"
"602","201588_at","TXNL1"
"603","203115_at","FECH"
"604","203116_s_at","FECH"
"605","204153_s_at","MFNG"
"606","204152_s_at","MFNG"
"607","200027_at","NARS1"
"608","204693_at","CDC42EP1"
"609","201105_at","LGALS1"
"610","204746_s_at","PICK1"
"611","204691_x_at","PLA2G6"
"612","202572_s_at","DLGAP4"
"613","202570_s_at","DLGAP4"
"614","202571_s_at","DLGAP4"
"615","201058_s_at","MYL9"
"616","202027_at","TMEM184B"
"617","202332_at","CSNK1E"
"618","202332_at","TPTEP2-CSNK1E"
"619","204017_at","KDELR3"
"620","203450_at","CBY1"
"621","204502_at","SAMHD1"
"622","201751_at","JOSD1"
"623","204008_at","DNAL4"
"624","202047_s_at","CBX6"
"625","202048_s_at","CBX6"
"626","201032_at","BLCAP"
"627","204239_s_at","NNAT"
"628","204205_at","APOBEC3G"
"629","204200_s_at","PDGFB"
"630","203294_s_at","LMAN1"
"631","203293_s_at","LMAN1"
"632","201217_x_at","RPL3"
"633","201042_at","TGM2"
"634","204285_s_at","PMAIP1"
"635","204286_s_at","PMAIP1"
"636","201217_x_at","SNORD83A"
"637","204287_at","SYNGR1"
"638","203901_at","TAB1"
"639","204593_s_at","MIEF1"
"640","204594_s_at","MIEF1"
"641","200779_at","ATF4"
"642","201014_s_at","PAICSP4"
"643","202144_s_at","ADSL"
"644","202144_s_at","AL022238.3"
"645","203014_x_at","AL022238.3"
"646","202096_s_at","TSPO"
"647","203014_x_at","SGSM3"
"648","202789_at","PLCG1"
"649","203684_s_at","BCL2"
"650","203685_at","BCL2"
"651","202419_at","KDSR"
"652","204752_x_at","PARP2"
"653","202561_at","TNKS"
"654","202221_s_at","EP300"
"655","204614_at","SERPINB2"
"656","201710_at","MYBL2"
"657","204837_at","MTMR9"
"658","200793_s_at","ACO2"
"659","201695_s_at","PNP"
"660","202732_at","PKIG"
"661","204639_at","ADA"
"662","201785_at","RNASE1"
"663","203467_at","PMM1"
"664","201870_at","TOMM34"
"665","200792_at","XRCC6"
"666","203691_at","PI3"
"667","203021_at","SLPI"
"668","202071_at","SDC4"
"669","201077_s_at","SNU13"
"670","201076_at","SNU13"
"671","201247_at","SREBF2"
"672","201248_s_at","SREBF2"
"673","203712_at","PUM3"
"674","203604_at","ZNF516"
"675","200839_s_at","CTSB"
"676","200838_at","CTSB"
"677","202944_at","NAGA"
"678","202943_s_at","NAGA"
"679","202937_x_at","RRP7A"
"680","201885_s_at","CYB5R3"
"681","203892_at","WFDC2"
"682","204836_at","GLDC"
"683","202211_at","ARFGAP3"
"684","201651_s_at","PACSIN2"
"685","202954_at","UBE2C"
"686","203316_s_at","SNRPEP2"
"687","204212_at","ACOT8"
"688","202836_s_at","TXNL4A"
"689","202835_at","TXNL4A"
"690","203322_at","ADNP2"
"691","203321_s_at","ADNP2"
"692","200661_at","CTSA"
"693","202075_s_at","PLTP"
"694","201569_s_at","SAMM50"
"695","201570_at","SAMM50"
"696","203936_s_at","MMP9"
"697","204629_at","PARVB"
"698","202174_s_at","PCM1"
"699","201787_at","FBLN1"
"700","202995_s_at","FBLN1"
"701","202994_s_at","FBLN1"
"702","204001_at","SNAPC3"
"703","204318_s_at","GTSE1"
"704","204315_s_at","GTSE1"
"705","204317_at","TRMU"
"706","201628_s_at","RRAGA"
"707","200081_s_at","AL161909.1"
"708","204539_s_at","CELSR1"
"709","200081_s_at","RPS6"
"710","201254_x_at","RPS6"
"711","204917_s_at","MLLT3"
"712","204918_s_at","MLLT3"
"713","203354_s_at","PSD3"
"714","203355_s_at","PSD3"
"715","203549_s_at","LPL"
"716","203548_s_at","LPL"
"717","204520_x_at","BRD1"
"718","204799_at","ZBED4"
"719","201089_at","ATP6V1B2"
"720","201522_x_at","SNRPN"
"721","201522_x_at","SNURF"
"722","202137_s_at","ZMYND11"
"723","202136_at","ZMYND11"
"724","204071_s_at","TOPORS"
"725","201111_at","CSE1L"
"726","201112_s_at","CSE1L"
"727","203613_s_at","NDUFB6"
"728","204505_s_at","DMTN"
"729","200751_s_at","HNRNPC"
"730","200014_s_at","HNRNPC"
"731","200881_s_at","DNAJA1"
"732","200880_at","DNAJA1"
"733","201882_x_at","B4GALT1"
"734","201883_s_at","B4GALT1"
"735","204615_x_at","IDI1"
"736","202387_at","BAG1"
"737","204434_at","SPATA2"
"738","204433_s_at","SPATA2"
"739","200868_s_at","RNF114"
"740","200867_at","RNF114"
"741","202584_at","NFX1"
"742","202585_s_at","NFX1"
"743","201001_s_at","PEDS1-UBE2V1"
