"","logFC","AveExpr","t","P.Value","adj.P.Val","B","hu_gene_name"
"216851_at",-0.0651517737497959,3.31506302605953,-1.38892974480687,0.186516746514939,0.606346592362852,-5.14836421402454,NA
"207636_at",0.0714574153738272,3.29012399613677,1.38875580348922,0.186568528802892,0.606346592362852,-5.14857805106275,"SERPINI2"
"218432_at",-0.113891394900594,5.94577730265848,-1.3887076990934,0.186582851549479,0.606346592362852,-5.14863718531647,"FBXO3"
"204679_at",-0.048779971717896,10.3358730931773,-1.38864798361468,0.186600632668253,0.606346592362852,-5.14871059083924,"KCNK1"
"211241_at",0.0931239748894984,3.36808418921424,1.38815461677516,0.186747592683234,0.606709828329333,-5.14931697443281,"ANXA2P3"
"213472_at",0.159529841664793,4.96998506414105,1.38801292288137,0.186789816809894,0.606732723227318,-5.14949109686801,"HNRNPH1"
"215535_s_at",0.0663196483034706,7.38108165857253,1.38764343344819,0.186899959754621,0.606845843419143,-5.14994508669646,"AGPAT1"
"201250_s_at",-0.0597711328003233,5.82396232381266,-1.38731350528363,0.186998354651116,0.606845843419143,-5.15035039178575,"SLC2A1"
"207656_s_at",-0.0638676640408112,3.29087154450393,-1.387260520151,0.187014160429046,0.606845843419143,-5.15041547546492,NA
"208113_x_at",0.0679728503554174,12.2616762453647,1.38720554853884,0.187030559942356,0.606845843419143,-5.15048299725824,"PABPC3"
"201303_at",-0.0519787889156455,11.1687462245418,-1.38718846418666,0.187035656904975,0.606845843419143,-5.15050398161282,"EIF4A3"
"215095_at",-0.0854264205793139,3.77948834240049,-1.38702309101481,0.187085000383723,0.606845843419143,-5.15070709609998,NA
"216043_x_at",-0.066317072170018,4.06469625779792,-1.38680574553772,0.187149867397891,0.606845843419143,-5.15097401655571,NA
"202080_s_at",-0.102789166824917,7.47163436307178,-1.38678271022936,0.187156743392537,0.606845843419143,-5.15100230423161,"TRAK1"
"212931_at",0.0908631697424003,7.42746153454107,1.38672415456981,0.18717422307441,0.606845843419143,-5.15107420981344,"TCF20"
"65770_at",-0.0641224353394539,7.23431959177582,-1.38671660213841,0.187176477677982,0.606845843419143,-5.15108348393559,"RHOT2"
"216550_x_at",0.0878934641691975,4.90278771395614,1.38654031433608,0.187229110640946,0.606869361202087,-5.15129994852252,NA
"208017_s_at",-0.0674262754341663,3.64115206030356,-1.38645662511802,0.187254101363492,0.606869361202087,-5.15140270371943,"MCF2"
"210909_x_at",0.106066910349938,3.35644409834069,1.38598302408725,0.187395576465078,0.607070245759259,-5.15198411297342,"LPAL2"
"211566_x_at",0.0808028204876003,7.85325153553695,1.38587079384606,0.187429114947408,0.607070245759259,-5.15212186908148,"BABAM2"
