ID_REF,3-28-PD1_rep1,3-28-PD1_rep2,3-28-PD1_rep3,3-28-PD1_rep4,3-28-PD1_rep5,3-28-PD1_rep6,3-28_rep1,3-28_rep3,3-28_rep4,3-28_rep5,3-28_rep6
205685_at,9.761783962,9.761783962,10.61558489,9.664005623,9.761783962,8.861910848,10.19392903,9.89082113,9.761783962,10.41846065,8.681181041
205686_s_at,7.744521844,7.744521844,7.73068086,7.306645897,8.342774071,8.127321888,7.306700672,7.821948785,8.197451375,7.744521844,7.04548194
205687_at,135.0370218,148.4288548,160.359959,146.7667695,148.4288548,142.6556805,157.4646737,147.8659697,140.8864297,164.5101255,169.4914778
205688_at,21.27181932,18.35129651,20.73689558,18.55699008,16.61602504,18.35129651,18.24497474,17.9478343,17.29986491,18.35129651,18.22026993
205689_at,18.97860163,18.6173114,18.31089148,18.82912192,20.15313377,18.73332935,18.53901784,18.03240802,17.42194848,18.53901784,17.23345559
205690_s_at,1194.528324,1173.692866,1138.796596,1118.038511,1114.31825,1113.130257,996.1298111,1118.038511,1071.402009,1086.513277,1145.668886
205691_at,36.40077839,32.28076672,35.37039438,35.22514671,35.60008243,33.54694703,36.44526302,30.39146462,36.30556956,35.37039438,31.42012321
205692_s_at,59.99966741,62.49899488,60.73518109,72.86126943,67.49702807,59.99966741,52.98996117,59.01937312,54.48941184,59.463271,59.59125071
205693_at,10.70778052,9.862598129,10.45103744,9.727333442,10.7253764,9.85275816,9.074916256,9.862598129,8.998785625,9.662341246,9.862598129
205694_at,8.242768543,8.869493226,8.309500931,8.225798757,8.309500931,8.309500931,8.448867616,8.329150785,8.170071126,8.309500931,7.477605715
205695_at,18.63525508,14.36843858,13.03107816,15.27934189,16.75037098,14.36843858,13.76483501,15.93381805,13.71950625,14.05471831,14.35460351
205696_s_at,43.24065578,39.72497561,47.04484074,40.78245202,47.57654597,49.44046668,42.77355701,41.76770703,43.80397885,42.57950984,44.73113608
205697_at,15.42648365,13.03785013,13.03785013,12.73284864,11.68750097,12.82901023,13.57850036,13.29594501,14.03761891,12.7762596,13.05150871
205698_s_at,191.339249,158.3828561,187.7283081,169.7765759,161.9499675,168.0683012,163.3847584,158.9642818,161.7149595,167.1034163,167.1034163
205699_at,9.83273657,10.48569284,10.22756363,12.5780489,10.48592445,9.786539417,9.988696952,10.00860228,9.937691171,11.00668717,8.480062387
205700_at,49.89651676,68.37828024,66.80943181,64.91446363,60.0180761,69.53840346,71.48862048,75.54130391,75.86374632,76.4611957,69.53840346
205701_at,56.95246704,57.70299227,50.2913274,55.2521741,70.01076006,57.70299227,70.85153845,56.12595725,61.84623865,59.7670186,47.84324655
205702_at,13.69446444,13.09704,13.53748338,10.51590017,12.5214807,11.45546826,11.28095227,15.22852234,12.93069314,11.82531935,12.12474034
205703_at,7.895989669,8.466410646,8.558582397,8.622679633,8.200472241,8.200472241,8.443247021,8.037178231,8.200472241,7.955191854,7.913360984
205704_s_at,89.52207498,99.90507311,102.2547862,92.26467773,106.0214417,117.3713774,106.2287481,118.7896376,106.2287481,107.6087418,111.6238957
205705_at,9.759239231,12.6438449,15.37977316,11.75798633,12.37859701,14.67837164,13.76483501,12.95705674,11.37378274,12.30568781,11.39203847
205706_s_at,30.47658511,33.40054817,30.82955537,21.61795474,31.67950785,31.19419971,30.71279326,27.32492731,31.33322032,29.923371,25.16410093
205707_at,51.11623538,51.3510222,46.38870855,51.00075247,51.40485859,50.45394581,51.57322332,49.30321375,48.85561461,46.97618012,48.85561461
205708_s_at,19.27892853,15.06384974,16.65369681,16.38736057,17.50870907,16.00312162,16.53621547,17.21195881,15.9018715,15.84063979,16.40707826
205709_s_at,13.13778882,13.36867626,11.60579529,13.22668212,12.2869996,12.94769966,13.58851406,14.2080791,12.60150852,13.1311835,13.13778882
205710_at,15.94098489,15.94098489,15.94098489,14.95331991,17.12067165,15.23914655,16.40759644,16.63285253,15.95205049,14.14596245,15.13860062
205711_x_at,3856.179714,3883.893563,3882.584983,4041.991991,3937.996483,3673.358932,3713.352516,3894.546575,3849.288549,3722.170525,3854.902054
205712_at,9.054700808,9.798762082,9.321867907,11.60579529,9.798762082,9.159096616,9.798762082,9.798762082,9.412349464,10.5609594,9.950690289
205713_s_at,9.856677408,9.184801802,9.123684682,8.130727056,8.385878913,7.946308295,8.414546254,8.121282081,8.351486305,8.651338993,7.721446268
205714_s_at,11.61092693,11.0129457,9.431939395,11.0129457,10.96605977,10.57498443,11.80029066,10.73177787,11.98581283,11.78714897,11.16869534
205715_at,26.6654028,30.45615583,26.20824055,26.11878338,28.34746611,28.12633795,29.51493745,28.34746611,28.44766775,30.95492922,28.34746611
205716_at,118.4244036,124.9128055,147.8464916,142.1983182,139.1623616,138.9481845,141.7634832,140.6837708,146.8839184,141.7093734,140.6837708
205717_x_at,15.04164802,12.59607845,14.5719104,16.22992659,17.60768784,13.89470825,13.98568131,18.62722089,16.54573646,16.35384022,13.11930307
205718_at,13.54208946,13.2442432,14.12862399,13.54208946,13.54208946,13.54208946,14.61419785,13.54208946,13.71355476,12.41519888,12.65884831
205719_s_at,9.585883524,8.498358003,10.03453197,8.990444528,8.738513614,8.119127155,8.318336575,9.050914235,8.605645197,8.738513614,8.466997126
205720_at,10.67786708,10.19465884,11.74241678,8.881520823,10.16622525,9.727283634,9.87995058,10.94076216,10.11803301,11.26065757,9.653384379
205721_at,10.63506409,10.18771178,10.12936164,10.56574458,10.08809007,10.96553783,10.55133184,8.46280571,9.209222849,9.543286818,9.075748455
205722_s_at,11.23982584,10.69890577,11.0129457,10.71554373,11.0129457,11.18178295,10.0468182,10.63596436,11.0129457,12.11583382,10.94030196
205723_at,12.53825027,11.32884899,13.02105978,16.13187233,12.53825027,11.31806823,13.14712162,13.21695099,12.53825027,12.61469645,12.38102284
205724_at,8.458800757,9.077770822,8.447722709,8.393889697,9.696739768,8.285284911,6.971147265,8.458800757,8.469752354,7.933093354,8.458800757
205725_at,9.127155645,8.127321888,7.863113169,7.246283432,8.127321888,7.706005936,8.129691762,8.11764383,8.127321888,8.49208193,8.169280921
205726_at,124.0515363,117.595946,125.4274729,135.0967198,130.7103207,132.7642817,154.1284196,145.0171468,141.8256148,135.0967198,150.7828555
205727_at,19.29001768,21.3068294,21.41968355,19.29001768,16.82272508,19.29001768,20.11629171,19.61183579,22.13232871,17.08907416,14.59458227
205728_at,9.62481874,10.9445019,10.17364494,11.7224378,11.67284627,9.989510369,10.88141238,11.15894219,10.87752786,11.15118428,10.03957759
205729_at,11.25073062,12.02685426,11.6239398,12.58466626,11.69639489,12.02685426,12.01146502,12.02685426,11.33446932,12.12531278,12.37506845
205730_s_at,9.812994735,10.04240881,11.61257949,11.2673397,12.6247383,11.29514661,10.59446707,10.69124446,10.48011409,9.812994735,11.68425746
205731_s_at,30.10980697,42.7392678,32.82917265,33.85367328,39.97316751,33.51594269,32.44561629,29.02401813,29.45973289,24.92374345,32.44561629
205732_s_at,15.05927925,17.06806181,17.25193615,17.25193615,16.74289376,17.25193615,17.20433818,18.61799005,17.25193615,20.00980728,17.25193615
205733_at,449.3192117,414.6775078,449.3192117,449.3192117,518.2142283,448.9203772,462.4010321,487.5502125,487.0135945,434.212244,438.657652
205734_s_at,8.492328175,8.492328175,9.982928643,8.492328175,9.82112779,8.400762643,7.93897267,7.868960471,8.217339707,8.904942199,9.035711822
205735_s_at,9.141441085,8.237969366,10.19180813,8.237969366,8.052886392,7.361648365,7.696972501,8.237969366,8.559379453,8.513547102,7.857745656
205736_at,10.05918931,9.139109369,9.868737849,9.784469037,11.28914321,8.977606197,10.59177415,9.722094423,9.784469037,9.784469037,9.451357165
205737_at,10.37524807,9.882472642,11.65820541,11.02936746,9.040342381,10.00873226,11.8908328,9.220496737,9.877419862,9.982360866,10.37524807
205738_s_at,14.52955128,13.26832867,16.32576381,14.12574057,14.86573889,14.07466209,14.78401779,14.12574057,12.71777352,13.35194372,13.20855742
205739_x_at,226.3961182,246.3646662,239.390022,225.6035699,236.5083506,259.3837591,279.5238613,237.8737619,246.3646662,246.5762049,238.0906527
