"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_name"
"1417637_a_at",-0.00181924999999899,8.272069125,-0.0232353480057264,0.98191438726451,0.999954907561919,-5.1277811957891,"Hmg20b"
"1421744_at",-0.00156699999999909,10.2077355,-0.0232215196759733,0.981925148644594,0.999954907561919,-5.12778142714111,"Tnfsf4"
"1456316_a_at",-0.00206074999999867,7.894461875,-0.0231923276985406,0.981947866220941,0.999954907561919,-5.12778191507925,"Acbd3"
"1425829_a_at",-0.00263474999999895,6.100651625,-0.0230601222157623,0.982050750457636,0.999954907561919,-5.12778411718468,"Steap4"
"1422816_a_at",-0.0018620000000002,7.804343,-0.0230435789915848,0.982063624660499,0.999954907561919,-5.12778439185393,"Mutyh"
"1424142_at",0.00177925000000151,8.164742375,0.0230242263589651,0.982078685196995,0.999954907561919,-5.12778471291802,"Elp1"
"1423360_at",0.0016705000000018,7.553354,0.0227948433078302,0.982257195414046,0.999954907561919,-5.12778849788476,"Yme1l1"
"1418168_at",-0.00280499999999866,6.39598125,-0.0226686620836847,0.982355392460636,0.999954907561919,-5.12779056380047,"Zcchc14"
"1450106_a_at",0.00160575000000131,10.547872875,0.0226655625381157,0.98235780460011,0.999954907561919,-5.12779061440383,"Evl"
"1426497_at",-0.00131924999999914,7.372999375,-0.0225781178152216,0.982425856222733,0.999954907561919,-5.12779203918039,"Kdm5c"
"1417155_at",0.00160650000000076,6.762441,0.0225727369383101,0.982430043757612,0.999954907561919,-5.12779212667361,"Mycn"
"1434898_at",-0.00125225000000033,8.226562625,-0.0225642013943291,0.982436686335557,0.999954907561919,-5.12779226541903,"Tnrc6a"
"1456199_x_at",-0.0015022500000006,10.118760875,-0.0225249999567207,0.982467193911816,0.999954907561919,-5.12779290196529,"Ranbp9"
"1448098_at",-0.00136149999999951,3.939789,-0.0225058136743767,0.982482125185527,0.999954907561919,-5.1277932131055,NA
"1434767_at",-0.00279999999999868,7.03837425,-0.0225048088129355,0.982482907195543,0.999954907561919,-5.12779322939384,"Mis18bp1"
"1426378_at",-0.00143824999999872,12.730143375,-0.0224640415297364,0.982514633400713,0.999954907561919,-5.12779388959935,"Eif4b"
"1451611_at",-0.00250474999999654,11.234084875,-0.0224613286583612,0.982516744631909,0.999954907561919,-5.12779393349045,"Plaat3"
"1418989_at",-0.00185024999999938,7.425206375,-0.0223292715231258,0.982619515300975,0.999954907561919,-5.12779606361292,"Ctse"
"1419130_at",0.00233025000000027,9.305709625,0.0222122845308215,0.98271055822864,0.999954907561919,-5.12779794015844,"Adat2"
"1448581_at",0.00145650000000109,8.37602275,0.0222066861174205,0.98271491509516,0.999954907561919,-5.12779802971342,"Zfp346"
"1429866_at",-0.00214824999999899,6.289459375,-0.0221182421244175,0.982783745152173,0.999954907561919,-5.1277994415122,"Ahnak"
"1434004_at",0.00131600000000012,9.94718275,0.0220845883386706,0.98280993568646,0.999954907561919,-5.12779997723555,"Dhps"
"1455482_at",0.00155225000000201,8.846855625,0.021962629441717,0.982904848476334,0.999954907561919,-5.12780191182468,"Ap2a2"
"1451456_at",0.0020807500000018,8.385185625,0.0219481474302442,0.982916118915906,0.999954907561919,-5.127802140836,"Hjurp"
"1452448_at",0.00161150000000119,7.1379715,0.021944692573312,0.982918807614557,0.999954907561919,-5.12780219544708,"Aqr"
"1450121_at",-0.00148699999999939,4.71796825,-0.0218713247230826,0.982975905267604,0.999954907561919,-5.12780335314635,"Scn1a"
"1451062_a_at",-0.00132599999999941,5.47519,-0.0218673728067175,0.982978980802169,0.999954907561919,-5.12780341539511,"Pex5l"
"1452119_at",-0.00111474999999919,9.496954375,-0.0216577253708035,0.983142136983992,0.999954907561919,-5.1278067015403,"Rrp1b"
"1451884_a_at",-0.00128149999999743,9.6944005,-0.0216320895230665,0.98316208790187,0.999954907561919,-5.12780710120072,"Lsm2"
"1420995_at",-0.00141975000000057,6.913742625,-0.0216061023374709,0.983182312258368,0.999954907561919,-5.12780750585539,"Plxna3"
"1419564_at",-0.00195650000000008,6.30656775,-0.0213747955086786,0.983362325826628,0.999954907561919,-5.12781108617708,"Zfp467"
"1452784_at",-0.00191499999999881,11.73288275,-0.0213471106396065,0.983383871525472,0.999954907561919,-5.12781151212012,"Itgav"
"1425332_at",-0.00127974999999884,10.399302375,-0.0213403919832165,0.98338910030966,0.999954907561919,-5.12781161540617,"Zfp106"
"1417130_s_at",-0.00232774999999937,8.436254125,-0.0213228230401222,0.98340277331698,0.999954907561919,-5.12781188534025,"Angptl4"
"1448116_at",-0.00111900000000084,12.05754625,-0.0212527503293819,0.983457307369745,0.999954907561919,-5.12781295974529,"Uba1"
"1423492_at",-0.00145899999999881,10.86043575,-0.0212476783086265,0.983461254670877,0.999954907561919,-5.1278130373759,"Mrpl45"
"1436420_a_at",0.00144650000000186,11.00270175,0.0212221412467948,0.983481128901276,0.999954907561919,-5.12781342795598,"Ipo4"
"1426692_at",-0.00246324999999849,8.164635875,-0.0212145021164562,0.983487074060361,0.999954907561919,-5.12781354470244,"Ccdc97"
"1426052_at",0.0014042500000003,6.654074375,0.0211379928709125,0.983546617498117,0.999954907561919,-5.12781471165125,"Mlh3"
"1418585_at",0.00122250000000156,6.5062065,0.02105219919966,0.983613386680259,0.999954907561919,-5.12781601519568,"Ccnh"
"1455936_a_at",0.00287900000000028,5.53996575,0.0210396963005486,0.983623117110092,0.999954907561919,-5.12781620472151,"Rbpms"
"1450165_at",0.00173300000000174,10.8442895,0.0209973975693122,0.983656036282939,0.999954907561919,-5.12781684507429,"Slfn2"
"1422016_a_at",-0.00131899999999943,7.75057125,-0.0209820472781919,0.983667982722183,0.999954907561919,-5.12781707714089,"Cenph"
"1423083_at",0.00118475000000121,8.393217875,0.0209790819635939,0.983670290493279,0.999954907561919,-5.12781712195113,"Rab33b"
"1417658_at",0.00246625000000074,6.713843875,0.020972774008366,0.98367519969189,0.999954907561919,-5.12781721725251,"Tbrg4"
"1449538_a_at",0.00289625000000157,7.085701625,0.02082379968944,0.983791139929058,0.999954907561919,-5.1278194596451,"Gcnt1"
"1424815_at",-0.00137424999999984,5.025592625,-0.0208120164751774,0.983800310309457,0.999954907561919,-5.12781963632641,"Gys2"
"1427921_s_at",-0.00127849999999926,9.744356,-0.0207826059782411,0.983823199273845,0.999954907561919,-5.12782007688062,"Cmc2"
"1451229_at",0.00155775000000025,5.267482125,0.0207538655756062,0.983845566746609,0.999954907561919,-5.12782050679535,"Hdac11"
"1417692_at",-0.00118774999999963,9.791287125,-0.0207488162302311,0.983849496445859,0.999954907561919,-5.12782058226479,"Drg2"
"1425022_at",-0.00169924999999901,10.382756625,-0.0207385309599876,0.983857501052956,0.999954907561919,-5.12782073593557,"Usp3"
"1431359_a_at",-0.00153324999999942,9.884674375,-0.020671021263138,0.983910041148091,0.999954907561919,-5.12782174269735,"Card19"
"1417684_at",0.00141150000000115,10.1814795,0.0206290436333093,0.983942710697965,0.999954907561919,-5.12782236704833,"Thumpd3"
"1423778_at",0.00138375000000009,7.090001125,0.0206046003318128,0.98396173397922,0.999954907561919,-5.12782273001924,"Usp20"
"1418838_at",-0.00111449999999879,8.2308495,-0.0205612994471545,0.983995433417859,0.999954907561919,-5.12782337195963,"Abcd1"
"1426124_a_at",-0.00169424999999913,11.744117375,-0.0205158686411381,0.984030790529065,0.999954907561919,-5.12782404402475,"Clk1"
"1460251_at",-0.00263474999999874,8.063211375,-0.020503922865792,0.98404008748894,0.999954907561919,-5.12782422049369,"Fas"
