"ID_REF"	"GSM958123"	"GSM958124"	"GSM958125"	"GSM958126"	"GSM958127"	"GSM958128"	"GSM958129"	"GSM958130"
"1419700_a_at"	5.142051	5.209906	5.235392	5.144798	5.148831	5.110777	5.123352	5.109032
"1419701_s_at"	8.034446	8.015941	7.873873	7.954082	8.122757	8.189462	8.000035	7.868992
"1419702_at"	7.528899	7.539587	7.510127	7.460989	7.709455	7.386518	7.577322	7.443734
"1419703_at"	6.43987	6.721487	6.583975	6.822739	6.591969	6.711045	6.578246	6.884147
"1419704_at"	4.023259	4.022775	4.199036	4.06489	4.094351	4.104471	4.051399	4.251173
"1419705_at"	6.041086	6.22248	6.177711	6.437936	6.160487	5.906651	6.336565	6.399142
"1419706_a_at"	5.919506	6.427407	6.09735	6.488268	6.242597	6.350248	6.643199	6.475961
"1419707_at"	4.827973	4.954749	4.828165	4.865043	5.206547	4.927125	5.278099	5.284869
"1419708_at"	6.953021	6.638683	6.855466	6.833693	6.769062	6.746634	6.678622	6.828182
"1419709_at"	4.670802	4.669556	4.857969	5.06181	4.807983	4.563469	5.036273	4.836248
"1419710_at"	8.791388	8.640833	8.773506	8.68198	8.727405	8.466343	8.678494	8.814538
"1419711_at"	7.911398	8.952314	8.799435	8.403644	8.087145	8.861432	8.907244	8.333344
"1419712_at"	8.407975	8.518052	8.225268	8.29032	8.383645	8.639914	8.265273	8.355683
"1419713_at"	5.318468	5.290993	5.549297	5.254046	5.229679	5.186475	5.216643	5.165267
"1419714_at"	10.07341	9.729917	9.329068	9.481484	10.089964	9.799261	9.465281	9.427808
"1419715_at"	5.708438	5.699241	5.713464	5.644352	5.863582	5.680688	5.662777	5.948565
"1419716_a_at"	8.132624	8.072207	8.171863	8.030647	8.163424	8.173216	8.154174	7.913208
"1419717_at"	4.46948	4.620544	4.647131	4.594859	4.509271	4.512561	4.808345	4.794563
"1419718_at"	4.673182	4.569694	4.510265	4.774959	4.507529	4.498756	4.555591	4.553632
"1419719_at"	6.474913	6.410106	6.677034	6.648622	6.542248	6.380367	6.634806	6.862063
"1419720_at"	7.199539	7.549742	7.339197	7.450729	7.326764	7.229313	7.418498	7.396883
"1419721_at"	5.828336	5.819744	5.967116	5.785651	5.880483	5.695256	5.675714	6.014555
"1419722_at"	11.793367	11.399767	11.599604	11.2509	11.77921	11.365589	11.571295	11.251098
"1419723_at"	6.858691	6.979969	7.199103	6.926363	6.967117	6.78879	7.160641	7.000246
