"","affy_mouse430a_2","mgi_symbol"
"966","","Gm24873"
"967","","Mir7074"
"968","","Gm26182"
"969","","Gm44313"
"970","","Gm23593"
"971","","Gm22442"
"972","","Gm26445"
"973","","Gm26276"
"974","","Mir7059"
"975","","Gm22336"
"976","1436760_a_at","Snord55"
"977","","4930465K10Rik"
"978","","Gm9959"
"979","1416300_a_at","Gm24119"
"980","","Gm23021"
"981","","Mir449b"
"982","","Gm25230"
"983","","Gm24213"
"984","","Mir21a"
"985","","n-R5s80"
"986","","Mir129-1"
"987","","Gm25210"
"988","","Gm25372"
"989","","Mir664"
"990","","Gm26346"
"991","1456436_x_at","Gm24016"
"992","1456373_x_at","Gm24016"
"993","","Gm27905"
"994","","Mir7659"
"995","","Gm21748"
"996","","Mir6417"
"997","","Gm26067"
"998","","Gm24664"
"999","1435655_at","Snora65"
"1000","","Gm24009"
"1001","","Mir1961"
"1002","","Gm23253"
"1003","","Gm25072"
"1004","","Gm27605"
"1005","","Gm22548"
"1006","","Mir344f"
"1007","1423823_at","Mrto4-ps2"
"1008","","Gm22887"
"1009","","Gm26247"
"1010","","Mir701"
"1011","","Gm25124"
"1012","","Gm22533"
"1013","","Gm26392"
"1014","","Gm22668"
"1015","","Mir8098"
"1016","","Mir873b"
"1017","","Gm44489"
"1018","","3110021N24Rik"
"1019","","Gm25482"
"1020","","Gm27549"
"1021","","Gm25748"
"1022","","Gm24883"
"1023","","Gm22019"
"1024","","Gm24154"
"1025","","Gm25079"
"1026","","Mir3095"
"1027","","Mir344i"
"1028","","Gm44354"
"1029","","Gm24533"
"1030","","Mir489"
"1031","","Gm23671"
"1032","","Gm25554"
"1033","","Gm25057"
"1034","","Mir7115"
"1035","","Gm23665"
"1036","","Gm26194"
"1037","","Gm44376"
"1038","","Mir421"
"1039","","Gm25384"
"1040","","Gm25927"
"1041","","Gm25540"
"1042","","Mir344d-3"
"1043","","Gm22021"
"1044","","Gm22894"
"1045","","Gm24334"
"1046","","Gm25612"
"1047","","Snord85"
"1048","","Gm25203"
"1049","","Gm24115"
"1050","","Gm27921"
"1051","","Gm26350"
"1052","","Gm23755"
"1053","","Gm22614"
"1054","","n-R5s48"
"1055","","Gm27316"
"1056","","Gm25201"
"1057","","Mir6236"
"1058","","Gm23692"
"1059","","Mir669o"
"1060","","Gm23167"
"1061","","Mir5126"
"1062","","Rnu11"
"1063","","Gm26021"
"1064","","Gm10720"
"1065","","Gm26283"
"1066","","Gm24111"
"1067","","Gm23704"
"1068","","Gm24207"
"1069","","Mir16-2"
"1070","","Mir103-2"
"1071","","n-R5s216"
"1072","","Gm24840"
"1073","","Gm11011"
"1074","","Gm10812"
"1075","","Gm25294"
"1076","","Gm25558"
"1077","","Gm23119"
"1078","","Gm27754"
"1079","","Gm26104"
"1080","","Gm22495"
"1081","","Gm23345"
"1082","","Gm22516"
"1083","","Mir344h-2"
"1084","1449893_a_at","Mir7041"
"1085","1434210_s_at","Mir7041"
"1086","","Gm22216"
"1087","","Gm24931"
"1088","","Gm25562"
"1089","","n-R5s64"
"1090","","Gm26227"
"1091","","Gm24748"
"1092","1460175_at","Gm10689"
"1093","1422141_s_at","Csprs"
"1094","1435792_at","Csprs"
"1095","1422140_at","Csprs"
"1096","1460416_s_at","Csprs"
"1097","","Gm24438"
"1098","","Gm26073"
"1099","","Gm24750"
"1100","","Gm22985"
"1101","","Gm24977"
"1102","","Mir28a"
"1103","","Gm23120"
"1104","","Gm25911"
"1105","","Mir297a-4"
"1106","1455578_x_at","Gm10736"
"1107","1422623_x_at","Gm10736"
"1108","","Gm47284"
"1109","","Gm26066"
"1110","","Gm23312"
"1111","","Gm24997"
"1112","","Gm44352"
"1113","","Gm22460"
"1114","","Gm26348"
"1115","","Gm27957"
"1116","","Gm25698"
"1117","","Gm25779"
"1118","","Gm10999"
"1119","","Gm24945"
"1120","","Gm23240"
"1121","","Gm22093"
"1122","","Mir378b"
"1123","","Ighv5-8"
"1124","","Mir6237"
"1125","1415779_s_at","Gm25241"
"1126","","Gm23296"
"1127","","Mir7213"
"1128","","Gm24866"
"1129","","Gm22875"
"1130","","Gm23736"
"1131","","Gm24978"
"1132","","Gm21833"
"1133","","n-R5s201"
"1134","","Mir669m-1"
"1135","","Gm24519"
"1136","","Gm27684"
"1137","","Mir5622"
"1138","","Mir218-1"
"1139","","Mir5619"
"1140","","Gm22567"
"1141","","Gm22588"
"1142","","Gm22777"
"1143","","Gm22311"
"1144","","Mir6394"
"1145","","Gm24855"
"1146","","Gm22406"
"1147","","Mir143"
"1148","","Gm22509"
"1149","","Mir1949"
"1150","","Gm23099"
"1151","1426661_at","Rpl27a-ps4"
"1152","","Ighv1-13"
"1153","","Gm26183"
"1154","","Mir187"
"1155","","Gm22590"
"1156","","Snord118"
"1157","","Gm23805"
"1158","","Gm23771"
"1159","","Gm25672"
"1160","","Gm24300"
"1161","","Gm44387"
"1162","","Gm24854"
"1163","","Gm24726"
"1164","","Gm24781"
"1165","","Gm24208"
"1166","","Gm23100"
"1167","","Mir669d-2"
"1168","","Gm23377"
"1169","","Gm6020"
"1170","","Gm25681"
"1171","","Gm23007"
"1172","","Gm23716"
"1173","","Gm22200"
"1174","","Gm25377"
"1175","","Mir1950"
"1176","","Gm22595"
"1177","","Gm24890"
"1178","","Gm24276"
"1179","1423409_a_at","Gm6365"
"1180","1438794_x_at","Snord14a"
"1181","1415913_at","Snord14a"
"1182","1448142_x_at","Snord14a"
"1183","","Gm22191"
"1184","","Mir6987"
